car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
2020 Maruti Ciaz Sigma BSIV,2020,Third Party insurance,Petrol,5.0,50000.0,Third Owner,Manual,,21.56,1462.0,103.25,,6.86
2021 Hyundai Venue SX Opt Executive Diesel,2021,Third Party insurance,Diesel,5.0,60000.0,First Owner,Manual,,23.7,1493.0,98.6,,12.5
2021 Hyundai Venue SX Dual Tone Diesel BSIV,2021,Third Party insurance,Diesel,5.0,60000.0,First Owner,Manual,,23.7,1396.0,89.0,,11.0
2019 Maruti Alto K10 VXI AGS Optional,2019,Third Party insurance,Petrol,5.0,20000.0,First Owner,Automatic,,23.95,998.0,67.1,,3.95
2016 Maruti Wagon R LXI CNG,2016,Third Party insurance,CNG,5.0,40000.0,First Owner,Manual,,26.6,998.0,58.16,,3.5
2011 Toyota Etios VX,2011,Third Party insurance,Petrol,5.0,50000.0,Second Owner,Manual,,17.6,1496.0,88.7,,2.89
2011 Toyota Corolla Altis Diesel D4DGL,2011,Third Party insurance,Diesel,5.0,150000.0,First Owner,Manual,,21.43,1364.0,87.2,,2.82
2021 Kia Sonet HTX Plus Turbo iMT BSVI,2021,Third Party insurance,Petrol,5.0,10000.0,First Owner,Manual,,18.2,998.0,118.36,,10.0
2020 Maruti Ciaz Alpha BSVI,2020,Third Party insurance,Petrol,5.0,30000.0,Second Owner,Manual,,20.65,1462.0,103.25,,7.85
2014 Ford Ecosport 1.5 DV5 MT Ambiente,2014,Third Party insurance,Diesel,5.0,150000.0,Third Owner,Manual,,22.7,1498.0,89.84,,3.0
2011 Mitsubishi Outlander 2.4,2011,Third Party insurance,Petrol,5.0,80000.0,Second Owner,Automatic,,11.3,2360.0,170.0,,3.97
2015 Maruti Swift Dzire VDI,2015,Third Party insurance,Diesel,5.0,20000.0,First Owner,Manual,,26.59,1248.0,74.0,,3.75
2011 Maruti Alto K10 LXI,2011,Third Party insurance,Petrol,5.0,120000.0,Third Owner,Manual,,20.92,998.0,67.1,,1.0
2011 Mitsubishi Outlander 2.4,2011,Third Party insurance,Petrol,5.0,80000.0,Second Owner,Automatic,,11.3,2360.0,170.0,,3.97
2021 Maruti Baleno Zeta,2021,Third Party insurance,Petrol,5.0,40000.0,First Owner,Manual,,21.01,1197.0,81.8,,6.75
2018 Hyundai Xcent 1.2 VTVT SX,2018,Third Party insurance,Petrol,5.0,60000.0,Second Owner,Manual,,20.14,1197.0,81.86,,4.65
2015 Maruti Swift Dzire VXI,2015,Third Party insurance,Petrol,5.0,80000.0,Second Owner,Manual,,20.85,1197.0,83.14,,4.8
2014 Maruti Alto 800 LXI,2014,Third Party insurance,Petrol,5.0,100000.0,First Owner,Manual,,22.74,796.0,47.3,,2.25
2016 Maruti Wagon R VXI Optional,2016,Third Party insurance,Petrol,5.0,70000.0,Second Owner,Manual,,20.51,998.0,67.04,,3.2
2015 Hyundai Grand i10 Sportz,2015,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,18.9,1197.0,82.0,,4.15
2012 Maruti Swift VDI,2012,Third Party insurance,Diesel,5.0,120000.0,Third Owner,Manual,,22.9,1248.0,74.0,,2.4
2013 Mahindra XUV500 W6 2WD,2013,Third Party insurance,Diesel,7.0,100000.0,Third Owner,Manual,,15.1,2179.0,140.0,,3.5
2013 Mahindra XUV500 W6 2WD,2013,Third Party insurance,Diesel,7.0,100000.0,Third Owner,Manual,,15.1,2179.0,140.0,,3.5
2013 Tata New Safari DICOR 2.2 EX 4x2,2013,Third Party insurance,Diesel,7.0,90000.0,Second Owner,Manual,,11.57,2179.0,138.1,,2.96
2013 Tata New Safari DICOR 2.2 EX 4x2,2013,Third Party insurance,Diesel,7.0,90000.0,Second Owner,Manual,,11.57,2179.0,138.1,,2.96
2018 Tata Tiago 1.2 Revotron XE,2018,Third Party insurance,Petrol,5.0,100000.0,First Owner,Manual,,23.84,1199.0,84.0,,3.16
2017 Maruti Vitara Brezza ZDi Plus Dual Tone,2017,Third Party insurance,Diesel,5.0,100000.0,Second Owner,Manual,,24.3,1248.0,88.5,,7.5
2019 Maruti Ertiga VDI,2019,Third Party insurance,Diesel,7.0,120000.0,First Owner,Manual,,25.47,1248.0,88.5,,9.0
2022 Maruti Celerio VXI BSVI,2022,Third Party insurance,Petrol,5.0,10000.0,First Owner,Manual,,25.24,998.0,65.71,,5.6
2017 Maruti Vitara Brezza ZDi Plus,2017,Third Party insurance,Diesel,5.0,150000.0,First Owner,Manual,,24.3,1248.0,88.5,,8.0
2017 Hyundai Creta 1.4 E Plus,2017,Third Party insurance,Diesel,5.0,120000.0,Second Owner,Manual,,22.1,1396.0,88.7,,9.0
2019 Maruti Alto 800 LXI,2019,Third Party insurance,Petrol,5.0,80000.0,First Owner,Manual,,22.05,796.0,47.33,,2.8
2013 Toyota Innova 2.5 E Diesel MS 7-seater,2013,Third Party insurance,Diesel,7.0,90000.0,Second Owner,Manual,,11.4,2494.0,100.6,,5.5
2009 Toyota Innova 2.5 G (Diesel) 7 Seater BS III,2009,Third Party insurance,Diesel,8.0,150000.0,First Owner,Manual,,12.8,2494.0,102.0,,2.5
2011 Tata Manza Aqua Quadrajet,2011,Third Party insurance,Diesel,5.0,150000.0,First Owner,Manual,,18.8,1248.0,90.0,,1.5
2011 Tata Manza Aqua Quadrajet,2011,Third Party insurance,Diesel,5.0,150000.0,First Owner,Manual,,18.8,1248.0,90.0,,1.5
2017 Hyundai Grand i10 1.2 CRDi Sportz Option,2017,Third Party insurance,Diesel,5.0,20000.0,First Owner,Manual,,24.0,1186.0,73.97,,4.8
2017 Maruti Eeco CNG 5 Seater AC BSIV,2017,Third Party insurance,CNG,5.0,150000.0,First Owner,Manual,,21.94,1196.0,61.7,,3.0
2017 Maruti Eeco CNG 5 Seater AC BSIV,2017,Third Party insurance,CNG,5.0,150000.0,First Owner,Manual,,21.94,1196.0,61.7,,3.0
2017 Maruti Eeco CNG 5 Seater AC BSIV,2017,Third Party insurance,CNG,5.0,150000.0,First Owner,Manual,,21.94,1196.0,61.7,,3.0
2014 Audi A4 2.0 TDI,2014,Third Party insurance,Diesel,5.0,30000.0,Second Owner,Automatic,,16.55,1968.0,147.51,,12.0
2022 Hyundai i20 Sportz BSVI,2022,Third Party insurance,Petrol,5.0,10000.0,First Owner,Manual,,21.0,1197.0,81.8,,8.0
2012 Volkswagen Polo Diesel Trendline 1.2L,2012,Third Party insurance,Diesel,5.0,80000.0,Fourth & Above Owner,Manual,,22.07,1199.0,73.9,,2.0
2019 Maruti Vitara Brezza VDi,2019,Third Party insurance,Diesel,5.0,80000.0,Second Owner,Manual,,24.3,1248.0,88.5,,7.4
2009 Hyundai Santro Xing GLS,2009,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,17.92,1086.0,62.1,,1.5
2016 Maruti Swift Dzire VDI,2016,Third Party insurance,Diesel,5.0,30000.0,First Owner,Manual,,26.59,1248.0,74.0,,5.2
2010 Hyundai i10 Sportz 1.2,2010,Third Party insurance,Petrol,5.0,80000.0,Third Owner,Manual,,20.36,1197.0,78.9,,1.7
2021 Hyundai Venue S BSIV,2021,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,17.52,1197.0,81.86,,7.1
2021 Skoda Rapid 1.0 TSI Onyx,2021,Third Party insurance,Petrol,5.0,20000.0,First Owner,Manual,,18.97,999.0,108.62,,9.5
2013 Ford Figo Diesel ZXI,2013,Third Party insurance,Diesel,5.0,70000.0,First Owner,Manual,,20.0,1399.0,68.05,,2.4
2021 Skoda Rapid 1.0 TSI Onyx,2021,Third Party insurance,Petrol,5.0,20000.0,First Owner,Manual,,18.97,999.0,108.62,,9.3
2022 MG Hector Plus Select Diesel MT 7 STR,2022,Third Party insurance,Diesel,7.0,20000.0,First Owner,Manual,,16.56,1956.0,167.67,,19.22
2013 Hyundai EON D Lite,2013,Third Party insurance,Petrol,5.0,50000.0,Second Owner,Manual,,21.1,814.0,55.2,,1.5
2015 Hyundai Grand i10 Magna,2015,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,18.9,1197.0,82.0,,3.8
2021 Tata Punch Adventure BSVI,2021,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,20.09,1199.0,86.63,,5.9
2016 Volkswagen Polo 1.5 TDI Comfortline,2016,Third Party insurance,Diesel,5.0,150000.0,First Owner,Manual,,20.14,1498.0,88.0,,4.0
2013 Toyota Etios Liva GD,2013,Third Party insurance,Diesel,5.0,40000.0,First Owner,Manual,,23.59,1364.0,67.06,,3.0
2017 Renault Duster 85PS Diesel RxE,2017,Third Party insurance,Diesel,5.0,120000.0,First Owner,Manual,,19.87,1461.0,83.8,,5.0
2015 Maruti Alto 800 LXI,2015,Third Party insurance,Petrol,5.0,20000.0,First Owner,Manual,,22.74,796.0,47.3,,2.1
2009 Maruti Wagon R LX Minor,2009,Third Party insurance,Petrol,5.0,90000.0,Second Owner,Manual,,18.9,998.0,67.1,,1.0
2015 Mahindra XUV500 W10 2WD,2015,Third Party insurance,Diesel,7.0,50000.0,First Owner,Manual,,16.0,2179.0,140.0,,9.0
2020 Kia Seltos HTX Diesel,2020,Third Party insurance,Diesel,5.0,70000.0,First Owner,Manual,,20.8,1493.0,113.43,,13.49
2019 Maruti Swift Dzire VDI,2019,Third Party insurance,Diesel,5.0,50000.0,First Owner,Manual,,28.4,1248.0,74.02,,6.5
2019 Maruti Wagon R LXI,2019,Third Party insurance,Petrol,5.0,20000.0,First Owner,Manual,,21.79,998.0,67.05,,4.75
2014 Nissan Terrano XE 85 PS,2014,Third Party insurance,Diesel,5.0,90000.0,Second Owner,Manual,,20.45,1461.0,83.8,,3.2
2019 Maruti Swift Dzire VDI,2019,Third Party insurance,Diesel,5.0,50000.0,First Owner,Manual,,28.4,1248.0,74.02,,6.5
2015 Hyundai Grand i10 Sportz,2015,Third Party insurance,Petrol,5.0,60000.0,Second Owner,Manual,,18.9,1197.0,82.0,,3.7
2009 Maruti Wagon R LXI Minor,2009,Third Party insurance,Petrol,5.0,90000.0,Second Owner,Manual,,18.9,1061.0,67.0,,1.1
2009 Chevrolet Spark 1.0 LT Option Pack,2009,Third Party insurance,Petrol,5.0,60000.0,Second Owner,Manual,,16.0,995.0,635400.0,,50000.0
2020 Ford Figo Titanium Diesel,2020,Third Party insurance,Diesel,5.0,60000.0,Second Owner,Manual,,24.4,1499.0,98.96,,5.5
2015 Honda Jazz 1.5 E i DTEC,2015,Third Party insurance,Diesel,5.0,90000.0,Second Owner,Manual,,27.3,1498.0,98.6,,3.9
2017 Hyundai i10 Magna 1.1L,2017,Third Party insurance,Petrol,5.0,20000.0,Second Owner,Manual,,19.81,1086.0,68.05,,2.5
2013 Maruti Alto 800 VXI,2013,Third Party insurance,Petrol,5.0,80000.0,First Owner,Manual,,22.74,796.0,47.3,,2.0
2022 Maruti Swift Dzire VXI BSVI,2022,Third Party insurance,Petrol,5.0,10000.0,First Owner,Manual,,22.41,1197.0,88.5,,7.25
2017 Honda Jazz 1.5 V i DTEC,2017,Third Party insurance,Diesel,5.0,110000.0,First Owner,Manual,,27.3,1498.0,98.6,,4.5
2017 Honda City i-DTEC ZX,2017,Third Party insurance,Diesel,5.0,120000.0,First Owner,Manual,,25.6,1498.0,97.9,,7.5
2011 Toyota Etios Liva GD,2011,Third Party insurance,Diesel,5.0,70000.0,Third Owner,Manual,,23.59,1364.0,,,2.15
2013 Maruti Alto 800 VXI,2013,Third Party insurance,Petrol,5.0,80000.0,First Owner,Manual,,22.74,796.0,47.3,,2.06
2015 Mahindra XUV500 W8 2WD,2015,Third Party insurance,Diesel,7.0,120000.0,First Owner,Manual,,16.0,2179.0,140.0,,5.5
2012 Maruti Wagon R LXI CNG,2012,Third Party insurance,CNG,5.0,150000.0,First Owner,Manual,,26.2,998.0,58.2,,2.5
2013 Maruti Alto 800 VXI,2013,Third Party insurance,Petrol,5.0,80000.0,First Owner,Manual,,22.74,796.0,47.3,,2.1
2011 Toyota Etios V,2011,Third Party insurance,Petrol,5.0,70000.0,Second Owner,Manual,,17.6,1496.0,,,2.5
2016 Renault KWID RXL,2016,Third Party insurance,Petrol,5.0,60000.0,Second Owner,Manual,,25.17,799.0,53.3,,1.85
2014 Hyundai Grand i10 Sportz,2014,Third Party insurance,Petrol,5.0,70000.0,Third Owner,Manual,,18.9,1197.0,82.0,,3.0
2009 Chevrolet Spark 1.0 LT,2009,Third Party insurance,Petrol,5.0,60000.0,Third Owner,Manual,,18.0,995.0,62.0,,50000.0
2009 Chevrolet Spark 1.0 LT,2009,Third Party insurance,Petrol,5.0,60000.0,Second Owner,Manual,,18.0,995.0,62.0,,50000.0
2013 Hyundai Grand i10 CRDi Sportz,2013,Third Party insurance,Diesel,5.0,100000.0,Second Owner,Manual,,24.0,1120.0,70.0,,2.5
2012 Maruti SX4 ZXI MT BSIV,2012,Third Party insurance,Petrol,5.0,120000.0,Second Owner,Manual,,15.5,1586.0,103.3,,1.9
2019 Maruti Swift Dzire VXI 1.2,2019,Third Party insurance,Petrol,5.0,40000.0,First Owner,Manual,,21.21,1197.0,81.8,,6.5
2013 Mahindra Scorpio VLX SE BSIV,2013,Third Party insurance,Diesel,8.0,80000.0,First Owner,Manual,,15.4,2179.0,12086.7,,5.0
2013 Honda Amaze E i-Dtech,2013,Third Party insurance,Diesel,5.0,120000.0,First Owner,Manual,,25.8,1498.0,98.6,,1.9
2019 Maruti Baleno 1.2 Zeta,2019,Third Party insurance,Petrol,5.0,80000.0,Second Owner,Manual,,21.4,1197.0,83.1,,5.7
2014 Maruti Swift Dzire ZDI,2014,Third Party insurance,Diesel,5.0,80000.0,Second Owner,Manual,,23.4,1248.0,74.0,,3.5
2014 Honda City i DTEC S,2014,Third Party insurance,Diesel,5.0,120000.0,Fourth & Above Owner,Manual,,26.0,1498.0,98.6,,3.8
2019 Maruti Vitara Brezza VDi,2019,Third Party insurance,Diesel,5.0,100000.0,First Owner,Manual,,24.3,1248.0,88.5,,7.8
2018 Renault KWID STD,2018,Third Party insurance,Petrol,5.0,20000.0,First Owner,Manual,,25.17,799.0,53.3,,2.4
2021 Tata Nexon XM BSVI,2021,Third Party insurance,Petrol,5.0,10000.0,First Owner,Manual,,17.33,1199.0,118.35,,8.4
2013 Ford Ecosport 1.5 DV5 MT Trend,2013,Third Party insurance,Diesel,5.0,100000.0,Second Owner,Manual,,22.7,1498.0,89.84,,2.5
2014 Maruti Swift VDI BSIV,2014,Third Party insurance,Diesel,5.0,100000.0,Second Owner,Manual,,25.2,1248.0,74.0,,4.0
2009 Maruti Wagon R LXI Minor,2009,Third Party insurance,Petrol,5.0,80000.0,First Owner,Manual,,18.9,1061.0,67.0,,1.5
2009 Tata Indica Aqua 1.3 Quadrajet,2009,Third Party insurance,Diesel,5.0,70000.0,Second Owner,Manual,,18.0,1248.0,754000.0,,1.0
2020 Mahindra XUV500 W7,2020,Third Party insurance,Diesel,7.0,50000.0,First Owner,Manual,,15.1,2179.0,152.87,,12.75
2015 Datsun GO Plus T BSIV,2015,Third Party insurance,Petrol,7.0,30000.0,Second Owner,Manual,,19.44,1198.0,67.0,,2.7
2020 Mahindra XUV500 W7,2020,Third Party insurance,Diesel,7.0,50000.0,First Owner,Manual,,15.1,2179.0,152.87,,12.75
2012 Chevrolet Beat Diesel,2012,Third Party insurance,Diesel,5.0,70000.0,Second Owner,Manual,,25.44,936.0,57.6,,2.2
2017 Ford Aspire 1.5 TDCi Titanium,2017,Third Party insurance,Diesel,5.0,50000.0,First Owner,Manual,,25.83,1498.0,99.0,,6.0
2016 Mahindra XUV500 W4,2016,Third Party insurance,Diesel,7.0,50000.0,First Owner,Manual,,16.0,2179.0,140.0,,9.0
2019 Maruti Wagon R ZXI 1.2,2019,Third Party insurance,Petrol,5.0,20000.0,First Owner,Manual,,20.52,1197.0,81.8,,4.95
2022 Mahindra XUV300 W8 Option AMT BSVI,2022,Third Party insurance,Petrol,5.0,60000.0,First Owner,Automatic,,16.5,1197.0,108.62,,9.8
2019 Kia Seltos GTX DCT,2019,Third Party insurance,Petrol,5.0,20000.0,First Owner,Automatic,,16.2,1353.0,138.0,,13.75
2015 Maruti Wagon R VXI BS IV,2015,Third Party insurance,Petrol,5.0,40000.0,First Owner,Manual,,20.51,998.0,67.04,,3.4
2020 MG Hector Sharp DCT,2020,Third Party insurance,Petrol,5.0,40000.0,Second Owner,Automatic,,13.96,1451.0,141.0,,13.0
2019 Tata Nexon 1.2 Revotron XT,2019,Third Party insurance,Petrol,5.0,70000.0,First Owner,Manual,,17.0,1198.0,108.5,,6.0
2012 Honda Brio V MT,2012,Third Party insurance,Petrol,5.0,60000.0,First Owner,Manual,,19.4,1198.0,86.8,,3.0
2013 Renault Fluence Diesel E4,2013,Third Party insurance,Diesel,5.0,150000.0,Second Owner,Manual,,21.8,1461.0,78.0,,5.0
2020 Toyota Yaris G Optional,2020,Third Party insurance,Petrol,5.0,40000.0,First Owner,Manual,,17.1,1496.0,105.94,,10.99
2011 Honda City 1.5 V MT,2011,Third Party insurance,Petrol,5.0,90000.0,Second Owner,Manual,,17.0,1497.0,1186600.0,,3.5
2019 Renault Triber RXL BSIV,2019,Third Party insurance,Petrol,7.0,20000.0,First Owner,Manual,,20.0,999.0,72.0,,4.35
2012 Maruti Wagon R LXI BS IV,2012,Third Party insurance,Petrol,5.0,100000.0,Second Owner,Manual,,18.9,998.0,67.1,,1.86
2022 Maruti Eeco CNG 5 Seater AC,2022,Third Party insurance,CNG,5.0,20000.0,First Owner,Manual,,20.88,1196.0,61.68,,6.25
2022 Maruti Eeco CNG 5 Seater AC,2022,Third Party insurance,CNG,5.0,20000.0,First Owner,Manual,,20.88,1196.0,61.68,,6.25
2012 Renault Duster 110PS Diesel RxZ,2012,Third Party insurance,Diesel,5.0,120000.0,Second Owner,Manual,,19.01,1461.0,108.45,,4.5
2017 Hyundai i20 1.4 Asta,2017,Third Party insurance,Diesel,5.0,80000.0,First Owner,Manual,,22.54,1396.0,88.73,,6.5
2018 Maruti Wagon R LXI CNG,2018,Third Party insurance,CNG,5.0,150000.0,First Owner,Manual,,26.6,998.0,58.16,,3.5
2009 Hyundai i10 Magna 1.2,2009,Third Party insurance,Petrol,5.0,50000.0,First Owner,Manual,,20.36,1197.0,78.9,,1.3
2017 Maruti Swift VDI BSIV,2017,Third Party insurance,Diesel,5.0,70000.0,First Owner,Manual,,25.2,1248.0,74.0,,5.0
2021 Mahindra Bolero B6 Opt BSVI,2021,Third Party insurance,Diesel,7.0,10000.0,First Owner,Manual,,16.0,1493.0,74.96,,9.5
2017 Hyundai Creta 1.6 CRDi SX,2017,Third Party insurance,Diesel,5.0,120000.0,Third Owner,Manual,,19.67,1582.0,126.2,,7.0
2009 Ford Fiesta 1.4 ZXi TDCi ABS,2009,Third Party insurance,Diesel,5.0,120000.0,Third Owner,Manual,,17.8,1399.0,68.0,,1.4
2010 Tata New Safari DICOR 2.2 LX 4x2,2010,Third Party insurance,Diesel,7.0,120000.0,First Owner,Manual,,11.57,2179.0,138.1,,2.0
2018 Renault KWID Climber 1.0 AMT,2018,Third Party insurance,Petrol,5.0,20000.0,First Owner,Automatic,,24.04,999.0,67.0,,3.2
2011 Hyundai i10 Magna,2011,Third Party insurance,Petrol,5.0,40000.0,First Owner,Manual,,20.36,1197.0,78.9,,2.0
2015 Hyundai i20 Magna 1.2,2015,Third Party insurance,Petrol,5.0,90000.0,Second Owner,Manual,,18.6,1197.0,81.83,,4.1
2016 Maruti Swift VXI,2016,Third Party insurance,Petrol,5.0,30000.0,Second Owner,Manual,,21.21,1197.0,81.8,,4.4
2022 Jeep Compass Model S DCT BSVI,2022,Third Party insurance,Petrol,5.0,20000.0,First Owner,Automatic,,14.1,1368.0,160.77,,25.0
2019 Maruti Swift Dzire VXI 1.2,2019,Third Party insurance,Petrol,5.0,40000.0,First Owner,Manual,,21.21,1197.0,81.8,,6.5
2020 Toyota Glanza G,2020,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,21.01,1197.0,81.8,,6.3
2012 Toyota Etios GD,2012,Third Party insurance,Diesel,5.0,150000.0,Fourth & Above Owner,Manual,,23.59,1364.0,,,2.0
2018 Maruti Eeco 7 Seater Standard BSIV,2018,Third Party insurance,Petrol,7.0,100000.0,Second Owner,Manual,,15.37,1196.0,73.0,,3.5
2016 Honda Amaze S Diesel BSIV,2016,Third Party insurance,Diesel,5.0,150000.0,First Owner,Manual,,27.4,1498.0,98.63,,4.0
2011 Chevrolet Beat LT,2011,Third Party insurance,Petrol,5.0,90000.0,First Owner,Manual,,18.6,1199.0,79.4,,1.5
2016 Honda Amaze E Diesel BSIV,2016,Third Party insurance,Diesel,5.0,150000.0,First Owner,Manual,,27.4,1498.0,98.63,,4.25
2016 Maruti Swift Dzire VDI,2016,Third Party insurance,Diesel,5.0,80000.0,Second Owner,Manual,,26.59,1248.0,74.0,,4.25
2017 Maruti Swift Dzire VXI,2017,Third Party insurance,Petrol,5.0,70000.0,Second Owner,Manual,,20.85,1197.0,83.14,,4.0
2016 Maruti Swift VXI,2016,Third Party insurance,Petrol,5.0,30000.0,Second Owner,Manual,,21.21,1197.0,81.8,,4.6
2017 Mahindra KUV 100 mFALCON D75 K8,2017,Third Party insurance,Diesel,6.0,70000.0,First Owner,Manual,,25.32,1198.0,77.0,,3.3
2021 Nissan Magnite XE BSVI,2021,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,18.75,999.0,71.02,,4.7
2018 Hyundai Creta 1.6 SX Automatic Diesel,2018,Third Party insurance,Diesel,5.0,70000.0,Second Owner,Automatic,,17.6,1582.0,126.2,,11.5
2020 Maruti Ciaz Delta BSVI,2020,Third Party insurance,Petrol,5.0,60000.0,Second Owner,Manual,,20.65,1462.0,103.25,,7.25
2015 Hyundai i20 Active 1.4 SX,2015,Third Party insurance,Diesel,5.0,80000.0,Third Owner,Manual,,21.19,1396.0,88.73,,4.0
2013 Hyundai Grand i10 CRDi Asta,2013,Third Party insurance,Diesel,5.0,150000.0,First Owner,Manual,,24.0,1120.0,70.0,,2.5
2022 MG Astor Sharp BSVI,2022,Third Party insurance,Petrol,5.0,40000.0,First Owner,Manual,,15.43,1498.0,108.49,,14.5
2020 Hyundai i20 Sportz 1.2,2020,Third Party insurance,Petrol,5.0,40000.0,First Owner,Manual,,18.6,1197.0,81.83,,6.9
2015 Hyundai i20 Asta 1.2,2015,Third Party insurance,Petrol,5.0,120000.0,Fourth & Above Owner,Manual,,18.6,1197.0,81.83,,3.5
2020 Maruti Celerio Tour 2018-2021 H2 CNG,2020,Third Party insurance,CNG,5.0,150000.0,First Owner,Manual,,,998.0,,,3.42
2015 Hyundai i20 Asta 1.2,2015,Third Party insurance,Petrol,5.0,120000.0,Fourth & Above Owner,Manual,,18.6,1197.0,81.83,,3.5
2015 Hyundai i20 Active 1.4 SX,2015,Third Party insurance,Diesel,5.0,80000.0,Third Owner,Manual,,21.19,1396.0,88.73,,4.0
2013 Maruti Ertiga ZDI,2013,Third Party insurance,Diesel,7.0,80000.0,Third Owner,Manual,,20.77,1248.0,88.8,,4.25
2014 Audi Q3 2.0 TDI Quattro Premium Plus,2014,Third Party insurance,Diesel,5.0,80000.0,Second Owner,Automatic,,15.73,1968.0,174.33,,11.0
2022 Tata Punch Pure Rhythm BSVI,2022,Third Party insurance,Petrol,5.0,10000.0,First Owner,Manual,,20.09,1199.0,86.63,,6.0
2009 Hyundai i20 Magna,2009,Third Party insurance,Petrol,5.0,150000.0,Third Owner,Manual,,18.5,1197.0,805200.0,,1.5
2004 Honda CR-V 2.4 4WD AT,2004,Third Party insurance,Petrol,5.0,150000.0,Second Owner,Automatic,,10.1,2354.0,152.0,,1.7
2011 Maruti Wagon R LXI CNG,2011,Third Party insurance,CNG,5.0,70000.0,Fourth & Above Owner,Manual,,26.2,998.0,58.2,,1.6
2009 Hyundai i20 Magna,2009,Third Party insurance,Petrol,5.0,150000.0,Second Owner,Manual,,18.5,1197.0,805200.0,,1.4
2011 Skoda Fabia 1.2 TDI Active Plus,2011,Third Party insurance,Diesel,5.0,90000.0,Third Owner,Manual,,20.86,1199.0,75.0,,1.4
2021 Mahindra Thar LX 4-Str Hard Top Diesel BSVI,2021,Third Party insurance,Diesel,4.0,50000.0,Second Owner,Manual,,15.2,2184.0,130.0,,15.0
2011 Maruti Wagon R VXI BS IV,2011,Third Party insurance,Petrol,5.0,60000.0,First Owner,Manual,,18.9,998.0,67.1,,2.25
2019 Hyundai i20 Petrol Magna,2019,Third Party insurance,Petrol,5.0,40000.0,Second Owner,Manual,,18.6,1197.0,81.86,,5.5
2009 Maruti A-Star Vxi,2009,Third Party insurance,Petrol,5.0,60000.0,First Owner,Manual,,19.0,998.0,66.1,,1.4
2017 Maruti Wagon R LXI CNG,2017,Third Party insurance,CNG,5.0,20000.0,First Owner,Manual,,26.6,998.0,58.16,,4.0
2018 Hyundai Verna CRDi 1.6 SX Option,2018,Third Party insurance,Diesel,5.0,90000.0,First Owner,Manual,,22.0,1582.0,126.2,,9.0
2010 Honda City 1.5 E MT,2010,Third Party insurance,Petrol,5.0,80000.0,First Owner,Manual,,17.0,1497.0,1186600.0,,3.15
2013 Ford Ecosport 1.5 DV5 MT Trend,2013,Third Party insurance,Diesel,5.0,120000.0,First Owner,Manual,,22.7,1498.0,89.84,,3.5
2013 Hyundai EON D Lite Plus,2013,Third Party insurance,Petrol,5.0,100000.0,Second Owner,Manual,,21.1,814.0,55.2,,1.4
2021 Maruti Baleno Delta,2021,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,21.01,1197.0,81.8,,7.0
2020 Toyota Urban cruiser Premium AT,2020,Third Party insurance,Petrol,5.0,50000.0,First Owner,Automatic,,18.76,1462.0,103.26,,8.8
